"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Kael","Liiv SANDBOX","Support",22,"64%","55%",17,50,191,4.2,"77.3%","6.3%","22.9%","36%",-109,-159,-5.8,1,"2.4%",151,"7.7%","6.8%",110,"9.4%",0,1.73,0.55,0.37
"Karis","Hanwha Life Esports","Middle",26,"27%","65%",42,65,101,2.2,"68.1%","20.0%","18.3%","15%",-178,-72,-3.7,8.1,"23.9%",475,"26.4%","28.0%",226,"21.9%",0,0.36,0.18,0.28
"Kellin","DWG KIA","Support",22,"73%","36%",20,40,195,5.4,"77.9%","7.2%","21.4%","23%",-80,-147,-9,1.1,"2.5%",201,"9.3%","7.6%",112,"9.3%",0,1.79,0.53,0.31
"Keria","T1","Support",24,"79%","54%",32,47,179,4.5,"68.3%","10.4%","20.0%","25%",34,41,-2.6,2.4,"6.6%",210,"10.1%","9.2%",143,"11.3%",1,1.79,0.5,0.4
"Kiin","Kwangdong Freecs","Top",23,"35%","48%",42,65,84,1.9,"61.5%","20.5%","24.1%","13%",50,-29,4.8,8.6,"27.0%",478,"28.6%","25.9%",270,"25.0%",1,0.43,0.21,0.23
"Kingen","DRX","Top",24,"50%","50%",36,52,131,3.2,"59.0%","12.7%","18.9%","4%",-143,-38,-3,8.3,"24.7%",509,"24.3%","23.1%",257,"22.5%",1,0.42,0.25,0.27
"Lava","Fredit BRION","Middle",21,"14%","38%",30,47,68,2.1,"67.6%","20.7%","18.8%","10%",-42,-93,-4.1,9,"26.8%",480,"30.1%","31.1%",250,"24.5%",1,0.46,0.18,0.35
"Lehends","Gen.G","Support",22,"86%","45%",13,31,189,6.5,"69.9%","4.5%","23.3%","32%",59,131,3.6,1.7,"4.3%",207,"8.9%","7.9%",132,"10.0%",1,1.49,0.42,0.31
"Life","KT Rolster","Support",24,"50%","63%",14,56,203,3.9,"79.2%","5.1%","21.5%","21%",-44,8,-11.7,1.2,"2.9%",165,"8.2%","6.6%",105,"9.0%",0,1.88,0.43,0.38
"Moham","Kwangdong Freecs","Support",12,"33%","58%",11,34,53,1.9,"60.4%","10.4%","22.4%","25%",131,-68,17.2,2.5,"8.0%",167,"10.3%","10.0%",123,"11.7%",0,1.51,0.45,0.28
"Morgan","Fredit BRION","Top",15,"20%","60%",20,32,50,2.2,"68.0%","19.4%","19.8%","0%",-282,-101,-5.4,8.2,"25.4%",361,"22.6%","19.5%",243,"23.4%",0,0.46,0.24,0.23
"Nuguri","DWG KIA","Top",22,"73%","41%",61,44,110,3.9,"62.0%","22.1%","23.5%","32%",196,-19,1.2,8.3,"24.2%",519,"23.8%","20.8%",278,"23.1%",0,0.35,0.19,0.27
"Oner","T1","Jungle",24,"79%","42%",69,47,155,4.8,"72.5%","22.3%","20.0%","33%",168,159,3.7,6.4,"16.4%",286,"13.5%","13.8%",230,"18.1%",6,0.36,0.25,0.33
"OnFleek","Hanwha Life Esports","Jungle",26,"27%","42%",47,78,98,1.9,"69.0%","22.4%","22.0%","35%",-108,-157,-1,6.1,"16.1%",272,"15.2%","16.7%",193,"18.4%",4,0.4,0.37,0.5
"Peanut","Gen.G","Jungle",22,"86%","50%",63,26,121,7.1,"63.7%","21.8%","19.5%","59%",195,204,3.5,6.5,"14.8%",251,"11.2%","11.6%",222,"17.1%",3,0.38,0.3,0.44
